source,target,book,weight
A maester,Asshai,AGameofThrones,1
A maester,Dany,AGameofThrones,1
A maester,nan,AGameofThrones,1
"ANGELICA""S",B.B,FellowshipofTheRing,1
"ANGELICA""S",MILO BURROWS,FellowshipofTheRing,1
"ANGELICA""S",nan,FellowshipofTheRing,1
Abamabar,Dalinar,TheWayofKings,1
Abamabar,Urithiru,TheWayofKings,1
Abamabar,nan,TheWayofKings,1
Abell Cauthon's,Egwene,TheEyeofTheWorld,1
Abell Cauthon's,Luhhan,TheEyeofTheWorld,1
Abell Cauthon's,Mat,TheEyeofTheWorld,1
Abell Cauthon's,Moiraine Sedai,TheEyeofTheWorld,1
Abell Cauthon's,nan,TheEyeofTheWorld,2
Abry,Jost,TheWayofKings,1
Abry,nan,TheWayofKings,1
Ach,gollum,TheTwoTowers,1
Ach,nan,TheTwoTowers,1
Ach,the White Face,TheTwoTowers,1
Ackley Farren,Queen,TheEyeofTheWorld,1
Ackley Farren,nan,TheEyeofTheWorld,1
Acton,Allanon,TheSwordofShannara,1
Acton,Balinor,TheSwordofShannara,2
Acton,Fanning,TheSwordofShannara,1
Acton,Ginnisson,TheSwordofShannara,1
Acton,Hendel,TheSwordofShannara,3
Acton,Menion,TheSwordofShannara,3
Acton,Mermidon,TheSwordofShannara,1
Acton,Messaline,TheSwordofShannara,4
Acton,Northland,TheSwordofShannara,4
Acton,Northlanders,TheSwordofShannara,2
Acton,Stenmin,TheSwordofShannara,2
Acton,Tyrsis,TheSwordofShannara,1
Acton,nan,TheSwordofShannara,12
Adan,Artur Hawkwing,TheEyeofTheWorld,1
Adan,Heran,TheEyeofTheWorld,1
Adan,Luhhan,TheEyeofTheWorld,1
Adan,Mat,TheEyeofTheWorld,1
Adan,nan,TheEyeofTheWorld,2
Addam Marbrand,Catelyn,AGameofThrones,1
Addam Marbrand,Frey,AGameofThrones,1
Addam Marbrand,Jaime,AGameofThrones,1
Addam Marbrand,Theon,AGameofThrones,1
Addam Marbrand,Tyrion,AGameofThrones,1
Addam Marbrand,Tywin,AGameofThrones,1
Addam Marbrand,Tywin Lannister,AGameofThrones,1
Addam Marbrand,nan,AGameofThrones,1
Adis,Kaladin,TheWayofKings,1
Adis,Leyten,TheWayofKings,1
Adis,nan,TheWayofKings,1
Adolin,Alethkar,TheWayofKings,8
Adolin,Aunt Navani,TheWayofKings,1
Adolin,Bashin,TheWayofKings,1
Adolin,Blackthorn,TheWayofKings,1
Adolin,Captainlord Malan,TheWayofKings,1
Adolin,Dalinar,TheWayofKings,97
Adolin,Dalinar Kholin,TheWayofKings,5
Adolin,Dalinar’s,TheWayofKings,1
Adolin,Danlan,TheWayofKings,2
Adolin,Elhokar,TheWayofKings,14
Adolin,Gallant,TheWayofKings,1
Adolin,Gather,TheWayofKings,1
Adolin,Gavilar,TheWayofKings,3
Adolin,Havrom,TheWayofKings,1
Adolin,Highprince Aladar’s,TheWayofKings,1
Adolin,Highprince Sadeas,TheWayofKings,1
Adolin,Highprince Vamah,TheWayofKings,1
Adolin,Jakamav,TheWayofKings,2
Adolin,Janala,TheWayofKings,4
